title,author,genre,rating,image_url
Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy,4.58,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1.jpg
Harry Potter and the Order of the Phoenix,J.K. Rowling,Young Adult,4.5,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2.jpg
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,4.47,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1474154022i/3.jpg
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy,4.58,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5.jpg
Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy,4.57,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554006152i/6.jpg
"Harry Potter Boxed Set, Books 1-5",J.K. Rowling,Fantasy,4.72,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388185391i/8.jpg
Harry Potter Collection,J.K. Rowling,Fantasy,4.72,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328867351i/10.jpg
The Hitchhiker’s Guide to the Galaxy,Douglas Adams,Science Fiction,4.23,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg
The Ultimate Hitchhiker’s Guide to the Galaxy,Douglas Adams,Science Fiction,4.38,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404613595i/13.jpg
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Fantasy,4.61,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30.jpg
The Lord of the Rings,J.R.R. Tolkien,Fantasy,4.53,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1566425108i/33.jpg
The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,4.39,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1298411339i/34.jpg
The Changeling,Zilpha Keatley Snyder,Fiction,4.18,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386923583i/61.jpg
The Power of One,Bryce Courtenay,Fiction,4.35,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388184360i/122.jpg
Sexus,Henry Miller,Fiction,4.01,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1281419601i/252.jpg
One Hundred Years of Solitude,Gabriel García Márquez,Fiction,4.11,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320.jpg
Perfume: The Story of a Murderer,Patrick Süskind,Fiction,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409112276i/343.jpg
The Door Into Summer,Robert A. Heinlein,Science Fiction,4.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1342241886i/348.jpg
The Long Dark Tea-Time of the Soul,Douglas Adams,Fiction,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388257271i/357.jpg
